date,open,high,low,close,volume
05-08-2019,34.750,34.970,33.170,33.210,14413855
29-07-2019,33.960,34.730,33.630,34.580,13148014
22-07-2019,35.600,35.650,33.260,33.650,15065219
15-07-2019,36.100,36.410,35.720,35.830,9974906
08-07-2019,36.810,37.000,35.760,36.080,9840730
01-07-2019,37.100,37.280,36.310,36.560,12345802
24-06-2019,34.950,37.500,34.880,37.160,14463051
17-06-2019,34.800,35.420,34.255,34.960,10880796
07-06-2019,34.500,34.820,33.820,34.640,10535468
03-06-2019,35.870,36.160,34.450,34.570,11797618
27-05-2019,36.500,37.550,35.600,35.790,10620367
20-05-2019,35.690,37.540,35.325,37.050,10125286
13-05-2019,34.990,35.990,34.500,35.890,8089193
06-05-2019,35.900,35.900,34.310,34.740,9433855
29-04-2019,36.200,37.000,35.640,35.900,10257151
18-04-2019,35.820,35.820,35.180,35.650,6081288
15-04-2019,35.090,35.960,34.970,35.840,9697541
08-04-2019,35.010,35.250,34.080,34.560,10243102
01-04-2019,34.780,35.000,34.060,34.780,15783779
25-03-2019,35.360,35.960,34.610,34.790,13275942
18-03-2019,35.170,35.430,34.390,35.280,14445144
11-03-2019,35.500,36.000,34.230,34.700,13866289
04-03-2019,35.500,36.490,35.410,35.580,11741377
25-02-2019,36.990,37.700,35.340,35.770,18728913
18-02-2019,34.400,37.100,34.180,36.890,13006020
11-02-2019,34.300,34.940,33.820,34.400,10716430
04-02-2019,34.010,34.840,33.700,34.100,10024675
25-01-2019,33.940,34.340,32.950,34.280,8440323
21-01-2019,33.100,34.255,33.100,33.940,9357424
14-01-2019,32.420,33.720,32.190,33.080,10523075
07-01-2019,31.320,32.650,30.480,32.320,7636029
31-12-2018,30.510,31.720,30.510,31.320,4973263
24-12-2018,30.820,30.985,29.330,29.820,19369124
17-12-2018,30.900,31.840,30.740,31.140,12185270
10-12-2018,32.000,32.190,30.740,31.100,12641932
03-12-2018,31.500,32.210,31.060,32.160,14402154
26-11-2018,32.300,32.600,31.195,31.370,11695926
19-11-2018,33.680,33.750,32.110,32.550,13944007
12-11-2018,33.650,34.700,33.570,34.200,9537477
05-11-2018,33.610,34.960,33.290,33.400,16623544
29-10-2018,35.560,35.810,32.910,33.930,13706551
22-10-2018,36.110,36.550,35.670,35.780,13934599
15-10-2018,37.880,38.250,35.690,36.110,13695226
08-10-2018,38.590,39.380,38.210,38.220,10655666
01-10-2018,37.600,39.200,37.500,38.450,16325897
24-09-2018,36.770,37.730,36.440,37.060,14953353
17-09-2018,35.700,37.160,35.600,37.070,10296404
10-09-2018,36.630,36.710,34.840,35.550,8347974
03-09-2018,36.690,37.220,36.390,36.700,12055981
27-08-2018,37.130,37.300,35.580,36.360,13670264
20-08-2018,36.170,37.820,35.230,37.480,13994655
13-08-2018,36.540,36.800,35.780,35.850,8228277
06-08-2018,35.630,36.540,35.610,36.440,9042719
30-07-2018,34.700,35.720,34.445,35.500,11829914
23-07-2018,35.110,35.200,34.150,34.720,10962248
16-07-2018,36.480,36.550,35.050,35.590,12079395
09-07-2018,35.200,36.220,34.970,36.100,9260519
02-07-2018,34.700,35.800,34.375,35.150,16126199
25-06-2018,34.260,35.220,34.220,34.900,13545506
18-06-2018,33.420,34.370,33.380,34.000,10324758
08-06-2018,32.000,33.550,31.860,33.480,9340250
04-06-2018,31.790,32.540,31.460,32.230,13163229
28-05-2018,34.480,34.480,31.580,31.700,17625003
21-05-2018,33.910,34.725,33.340,34.480,12411429
14-05-2018,32.600,34.285,31.880,33.970,17146014
07-05-2018,32.480,33.110,32.220,32.550,9696225
30-04-2018,31.700,32.500,31.530,32.220,12922574
23-04-2018,30.700,31.740,30.360,31.410,10456417
16-04-2018,29.900,30.750,29.850,30.520,9529438
09-04-2018,29.460,30.275,29.370,29.840,9217736
29-03-2018,29.460,29.540,28.950,29.240,9460659
26-03-2018,28.900,29.655,28.650,29.310,15953612
19-03-2018,28.840,29.140,28.500,28.990,15957342
12-03-2018,28.900,29.390,28.500,28.940,14961437
05-03-2018,28.920,29.200,28.410,28.550,19780065
26-02-2018,28.870,29.655,28.380,29.090,29060065
19-02-2018,31.290,31.350,28.630,28.630,15246863
12-02-2018,32.050,32.770,30.865,31.300,21799692
05-02-2018,33.850,34.385,32.870,33.350,12539528
29-01-2018,33.280,34.400,33.140,34.130,10235917
22-01-2018,34.340,34.340,33.000,33.090,10553812
15-01-2018,34.380,34.980,34.060,34.490,11930937
08-01-2018,33.000,34.735,32.970,34.380,10496555
29-12-2017,32.850,33.230,32.770,33.080,3852864
22-12-2017,31.900,32.970,31.810,32.730,13873658
18-12-2017,31.950,32.440,31.580,31.690,10579739
11-12-2017,31.410,31.940,31.260,31.750,13117899
04-12-2017,31.240,31.650,30.860,31.390,17421196
27-11-2017,31.090,31.920,30.820,31.460,26782993
20-11-2017,31.310,31.630,30.340,30.950,95781414
13-11-2017,32.950,33.370,32.070,32.240,10745351
06-11-2017,30.320,32.440,30.300,32.210,12778656
30-10-2017,29.450,30.470,29.200,30.240,10548335
23-10-2017,29.690,29.835,28.760,29.470,11543388
16-10-2017,28.590,29.690,28.520,29.570,9727925
09-10-2017,29.190,29.320,28.500,28.850,10180497
02-10-2017,29.650,30.065,29.010,29.300,13803485
25-09-2017,28.640,29.420,28.160,29.140,9942880
18-09-2017,28.750,28.800,28.260,28.520,11977650
11-09-2017,28.740,29.210,28.440,28.850,9900432
04-09-2017,29.430,29.640,28.650,28.850,11057065
28-08-2017,29.490,29.800,29.100,29.570,10926697
21-08-2017,29.230,30.770,28.910,29.490,13062698
14-08-2017,29.310,29.410,28.695,29.230,6069752
07-08-2017,29.390,29.990,28.950,29.420,10784910
31-07-2017,29.010,29.400,28.630,29.170,11498840
24-07-2017,29.950,30.100,28.450,28.570,9974401
17-07-2017,29.370,30.400,29.300,30.280,8862842
10-07-2017,30.350,30.450,29.310,29.410,9108290
03-07-2017,29.350,30.500,29.100,29.920,16030532
26-06-2017,30.150,30.190,29.040,29.410,13569199
19-06-2017,30.620,31.330,30.180,30.300,15239461
09-06-2017,31.860,31.860,30.280,30.310,8726704
05-06-2017,32.400,32.500,31.510,31.860,11385651
29-05-2017,33.030,33.880,32.510,32.580,14918394
22-05-2017,32.730,33.010,32.010,32.950,10096363
15-05-2017,32.240,32.950,32.130,32.440,10100561
08-05-2017,32.250,32.590,31.460,32.100,12386722
01-05-2017,32.610,32.910,31.700,32.230,9246712
24-04-2017,33.150,33.260,31.880,32.380,10810176
13-04-2017,33.600,33.970,33.000,33.150,7758744
10-04-2017,32.100,33.450,31.980,33.210,9683529
03-04-2017,31.370,32.590,31.360,32.130,13074884
27-03-2017,31.160,31.380,30.570,31.210,10024111
20-03-2017,30.400,31.540,30.400,31.370,13886622
